soundID	trial	list	verb	animal	with	object
92	1	2	0	0.962420797	1.282890302	1.663180781
33	2	2	0	0.946061743	1.407022571	1.863373791
56	3	2	0	0.810102971	1.259131962	1.585313398
24	4	2	0	0.77352787	1.588497199	2.066449136
60	5	2	0	0.98956904	1.622309535	1.988357756
52	6	2	0	0.671352753	1.200400199	1.660792633
13	7	2	0	0.729297088	1.241542545	1.693759237
107	8	2	0	0.650477814	1.243873723	1.692930086
70	9	2	0	0.640654867	0.969892469	1.325319426
77	10	2	0	0.695339695	1.371199429	1.812577214
71	11	2	0	0.755553102	1.393671301	1.790339371
50	12	2	0	0.630453198	1.377886707	1.71882129
38	13	2	0	0.811049627	1.475517164	1.963485512
93	14	2	0	0.631663072	1.200101148	1.59978417
91	15	2	0	0.722345783	1.271574301	1.701939931
82	16	2	0	0.727168347	1.37216609	1.940276686
11	17	2	0	0.625432222	1.193467292	1.718140907
43	18	2	0	0.729351198	1.321442706	1.586325748
27	19	2	0	0.85488815	1.387035505	1.80780318
42	20	2	0	0.73463215	1.225043528	1.606890555
99	21	2	0	0.573567429	1.072213589	1.3687059
10	22	2	0	0.805968706	1.457500801	2.13777696
67	23	2	0	1.166382947	1.667508635	2.229582042
35	24	2	0	0.806342523	1.455145895	1.873877149
12	25	2	0	0.895528793	1.48876307	1.981840911
84	26	2	0	0.692697932	1.242469082	1.623761977
85	27	2	0	0.655403893	1.314478851	1.790744697
36	28	2	0	0.618503158	1.20045776	1.589617586
65	29	2	0	0.792720404	1.309613231	1.748561903
102	30	2	0	0.814053585	1.333204004	1.852354423
25	31	2	0	0.906014321	1.481162411	1.895607359
8	32	2	0	0.667188533	1.41470163	2.123880723
3	33	2	0	0.592859445	1.122653134	1.524137414
83	34	2	0	1.09340154	1.56083653	2.123666416
48	35	2	0	0.897839365	1.385293451	1.798654516
106	36	2	0	0.828143691	1.13233973	1.440245477
69	37	2	0	0.993826696	1.670844956	2.072983622
104	38	2	0	0.801486285	1.270775401	1.75583894
20	39	2	0	0.772498329	1.507283392	2.033618792
101	40	2	0	0.722705719	1.234435035	1.66306301
108	41	2	0	0.797806622	1.392077934	1.810268857
55	42	2	0	0.907428386	1.296492023	1.689566624
34	43	2	0	0.843868419	1.611760834	2.125351215
98	44	2	0	0.544933987	1.028168244	1.361062954
16	45	2	0	0.884193237	1.526108938	2.051704343
14	46	2	0	0.656825696	1.006437056	1.42092475
87	47	2	0	0.621918961	1.262558323	1.730264361
78	48	2	0	0.920223411	1.543049781	1.882382769
28	49	2	0	0.530854973	1.183631126	1.637183389
46	50	2	0	0.70722206	1.325169959	1.695097954
2	51	2	0	0.667037534	1.24540553	1.744905163
4	52	2	0	0.864133418	1.52978049	2.034754132
30	53	2	0	0.855263981	1.46219478	1.866815313
74	54	2	0	0.781525057	1.30980387	1.668560378
